Title,Link
Cow tipping,/wiki/Cow_tipping
Hardware disease,/wiki/Hardware_disease
Lily Flagg,/wiki/Lily_Flagg
Cannibalism in poultry,/wiki/Cannibalism_in_poultry
Chicken eyeglasses,/wiki/Chicken_eyeglasses
Chicken Dance,/wiki/Chicken_Dance
The Chicken (dance),/wiki/The_Chicken_(dance)
Chicken gun,/wiki/Chicken_gun
Chicken hypnotism,/wiki/Chicken_hypnotism
Chicken or the egg,/wiki/Chicken_or_the_egg
Chick sexing,/wiki/Chick_sexing
Blue Peacock,/wiki/Blue_Peacock
Empathy in chickens,/wiki/Empathy_in_chickens
Mike the Headless Chicken,/wiki/Mike_the_Headless_Chicken
Tastes like chicken,/wiki/Tastes_like_chicken
Squirrel induced power outages in Pennsylvania,/wiki/Squirrel_induced_power_outages_in_Pennsylvania
Squirrel attacks,/wiki/Squirrel_attacks
Squirrel fishing,/wiki/Squirrel_fishing
Ambergris,/wiki/Ambergris
Berserk llama syndrome,/wiki/Berserk_llama_syndrome
Danish Protest Pig,/wiki/Danish_Protest_Pig
Deer penis,/wiki/Deer_penis
Diving horse,/wiki/Diving_horse
Domesticated silver fox,/wiki/Domesticated_silver_fox
Exploding whale,/wiki/Exploding_whale
Fainting goat,/wiki/Fainting_goat
Globster,/wiki/Globster
Guided rat,/wiki/Guided_rat
Overtoun Bridge,/wiki/Overtoun_Bridge
Panda pornography,/wiki/Panda_pornography
Street dogs in Moscow,/wiki/Street_dogs_in_Moscow
The dog ate my homework,/wiki/The_dog_ate_my_homework
Weasel war dance,/wiki/Weasel_war_dance
Whale fall,/wiki/Whale_fall
52-hertz whale,/wiki/52-hertz_whale
Adwaita,/wiki/Adwaita
Benson (fish),/wiki/Benson_(fish)
Bubbles (chimpanzee),/wiki/Bubbles_(chimpanzee)
Enumclaw horse sex case,/wiki/Enumclaw_horse_sex_case
"Fe, Fi, Fo, Fum, and Phooey","/wiki/Fe,_Fi,_Fo,_Fum,_and_Phooey"
George (lobster),/wiki/George_(lobster)
Grape-kun,/wiki/Grape-kun
Harambe,/wiki/Harambe
Henry the Hexapus,/wiki/Henry_the_Hexapus
Hoover the talking seal,/wiki/Hoover_the_talking_seal
Jack (chacma baboon),/wiki/Jack_(chacma_baboon)
Jenny Haniver,/wiki/Jenny_Haniver
Jeremy (snail),/wiki/Jeremy_(snail)
Jonathan (tortoise),/wiki/Jonathan_(tortoise)
Khanzir,/wiki/Khanzir
Lin Wang,/wiki/Lin_Wang
Mary (elephant),/wiki/Mary_(elephant)
Nim Chimpsky,/wiki/Nim_Chimpsky
Osama bin Laden (elephant),/wiki/Osama_bin_Laden_(elephant)
Owen and Mzee,/wiki/Owen_and_Mzee
Paul the Octopus,/wiki/Paul_the_Octopus
Ravens of the Tower of London,/wiki/Ravens_of_the_Tower_of_London
River Thames whale,/wiki/River_Thames_whale
Tillamook Cheddar (dog),/wiki/Tillamook_Cheddar_(dog)
Timothy (tortoise),/wiki/Timothy_(tortoise)
Topsy (elephant),/wiki/Topsy_(elephant)
Wojtek (soldier bear),/wiki/Wojtek_(soldier_bear)
Anophthalmus hitleri,/wiki/Anophthalmus_hitleri
Aptostichus stephencolberti,/wiki/Aptostichus_stephencolberti
Bill Gates' flower fly,/wiki/Bill_Gates%27_flower_fly
Madidi Titi,/wiki/Madidi_Titi
Harryplax,/wiki/Harryplax
Mothers against decapentaplegic,/wiki/Mothers_against_decapentaplegic
Neopalpa donaldtrumpi,/wiki/Neopalpa_donaldtrumpi
Pikachurin,/wiki/Pikachurin
Megalosaurus,"/wiki/Megalosaurus#""Scrotum_humanum"""
Setaceous Hebrew Character,/wiki/Setaceous_Hebrew_Character
Covered smut (barley),/wiki/Covered_smut_(barley)
False loose smut,/wiki/False_loose_smut
Loose smut,/wiki/Loose_smut
Sonic hedgehog (protein),/wiki/Sonic_hedgehog_(protein)
Spongiforma squarepantsii,/wiki/Spongiforma_squarepantsii
Strigiphilus garylarsoni,/wiki/Strigiphilus_garylarsoni
Synalpheus pinkfloydi,/wiki/Synalpheus_pinkfloydi
Thaumatodryinus tuukkaraski,/wiki/Thaumatodryinus_tuukkaraski
Zombie taxon,/wiki/Zombie_taxon
Zyzyxia lundellii,/wiki/Zyzyxia_lundellii
Zyzzyzus warreni,/wiki/Zyzzyzus_warreni
Arbre du Ténéré,/wiki/Arbre_du_T%C3%A9n%C3%A9r%C3%A9
Bialbero di Casorzo,/wiki/Bialbero_di_Casorzo
Chandelier Tree,/wiki/Chandelier_Tree
Olympic oaks,/wiki/Olympic_oaks
Moon tree,/wiki/Moon_tree
Nepenthes lowii,/wiki/Nepenthes_lowii
Mimosa pudica,/wiki/Mimosa_pudica
Old Man of the Lake,/wiki/Old_Man_of_the_Lake
Pando (tree),/wiki/Pando_(tree)
Plant arithmetic,/wiki/Plant_arithmetic
Echinopsis lageniformis,/wiki/Echinopsis_lageniformis
Alley Pond Park,/wiki/Alley_Pond_Park#Queens_Giant
Tree of Knowledge (Australia),/wiki/Tree_of_Knowledge_(Australia)
Antikythera mechanism,/wiki/Antikythera_mechanism
Brabham BT46,/wiki/Brabham_BT46
Canard Digérateur,/wiki/Canard_Dig%C3%A9rateur
Centennial Light,/wiki/Centennial_Light
Clocky,/wiki/Clocky
Digital sundial,/wiki/Digital_sundial
Dreamachine,/wiki/Dreamachine
Electronic voice phenomenon,/wiki/Electronic_voice_phenomenon
Hedy Lamarr,/wiki/Hedy_Lamarr
History of perpetual motion machines,/wiki/History_of_perpetual_motion_machines
Klerksdorp sphere,/wiki/Klerksdorp_sphere
List of inventors killed by their own inventions,/wiki/List_of_inventors_killed_by_their_own_inventions
Marvin Heemeyer,/wiki/Marvin_Heemeyer
Mosquito laser,/wiki/Mosquito_laser
One red paperclip,/wiki/One_red_paperclip
Parking chair,/wiki/Parking_chair
Pigeon photography,/wiki/Pigeon_photography
Project Cybersyn,/wiki/Project_Cybersyn
Royal Mail rubber band,/wiki/Royal_Mail_rubber_band
Russian floating nuclear power station,/wiki/Russian_floating_nuclear_power_station
Spork,/wiki/Spork
Tempest Prognosticator,/wiki/Tempest_Prognosticator
Turboencabulator,/wiki/Turboencabulator
Uncanny valley,/wiki/Uncanny_valley
Useless machine,/wiki/Useless_machine
Wheat lamp,/wiki/Wheat_lamp
Wrap rage,/wiki/Wrap_rage
Xianxingzhe,/wiki/Xianxingzhe
Darlie,/wiki/Darlie
Fatberg,/wiki/Fatberg
Female urination device,/wiki/Female_urination_device
Groom of the Stool,/wiki/Groom_of_the_Stool
Hotel toilet-paper folding,/wiki/Hotel_toilet-paper_folding
Interactive Urinal Communicator,/wiki/Interactive_Urinal_Communicator
ILoo,/wiki/ILoo
Committee to End Pay Toilets in America,/wiki/Committee_to_End_Pay_Toilets_in_America
Toilets in Japan,/wiki/Toilets_in_Japan
List of people who died on the toilet,/wiki/List_of_people_who_died_on_the_toilet
Lloyds Bank coprolite,/wiki/Lloyds_Bank_coprolite
Stainless steel soap,/wiki/Stainless_steel_soap
Toilet-related injury,/wiki/Toilet-related_injury
Toilet paper orientation,/wiki/Toilet_paper_orientation
Whizzinator,/wiki/Whizzinator
World Toilet Day,/wiki/World_Toilet_Day
The dress,/wiki/The_dress
Koteka,/wiki/Koteka
Meat dress of Lady Gaga,/wiki/Meat_dress_of_Lady_Gaga
Muffin top,/wiki/Muffin_top
Shoe tossing,/wiki/Shoe_tossing
Sweater curse,/wiki/Sweater_curse
Three Wolf Moon,/wiki/Three_Wolf_Moon
Tin foil hat,/wiki/Tin_foil_hat
2001 Japan Airlines mid-air incident,/wiki/2001_Japan_Airlines_mid-air_incident
Aeroflot Flight 593,/wiki/Aeroflot_Flight_593
Ampelmännchen,/wiki/Ampelm%C3%A4nnchen
Amtrak paint schemes,/wiki/Amtrak_paint_schemes
Amtrak,/wiki/Amtrak
Boaty McBoatface,/wiki/Boaty_McBoatface
British Rail flying saucer,/wiki/British_Rail_flying_saucer
China National Highway 110 traffic jam,/wiki/China_National_Highway_110_traffic_jam
Cycloped,/wiki/Cycloped
Dagen H,/wiki/Dagen_H
Dymaxion car,/wiki/Dymaxion_car
Experiment (horse-powered boat),/wiki/Experiment_(horse-powered_boat)
Get Out and Push Railroad,/wiki/Get_Out_and_Push_Railroad
Gimli Glider,/wiki/Gimli_Glider
Human mail,/wiki/Human_mail
Iron Dobbin,/wiki/Iron_Dobbin
Jesus nut,/wiki/Jesus_nut
Loose wheel nut indicator,/wiki/Loose_wheel_nut_indicator
Mile High Club,/wiki/Mile_High_Club
Mehran Karimi Nasseri,/wiki/Mehran_Karimi_Nasseri
Miss Belvedere,/wiki/Miss_Belvedere
Passenger train toilets,/wiki/Passenger_train_toilets
Peel P50,/wiki/Peel_P50
PZL M-15 Belphegor,/wiki/PZL_M-15_Belphegor
Reliant Regal,/wiki/Reliant_Regal
Rocket mail,/wiki/Rocket_mail
RP FLIP,/wiki/RP_FLIP
School bus yellow,/wiki/School_bus_yellow
Screw-propelled vehicle,/wiki/Screw-propelled_vehicle
Shipping container architecture,/wiki/Shipping_container_architecture
"Society for the Prevention of Calling Sleeping Car Porters ""George""",/wiki/Society_for_the_Prevention_of_Calling_Sleeping_Car_Porters_%22George%22
South Pointing Chariot,/wiki/South_Pointing_Chariot
Train surfing,/wiki/Train_surfing
Unused highway,/wiki/Unused_highway
USGlobal Airways,/wiki/USGlobal_Airways
Vomit Comet,/wiki/Vomit_Comet
Wallsend Metro station,/wiki/Wallsend_Metro_station
Westray to Papa Westray flight,/wiki/Westray_to_Papa_Westray_flight
.nu,/wiki/.nu
Blinkenlights,/wiki/Blinkenlights
The Book of Mozilla,/wiki/The_Book_of_Mozilla
Brainfuck,/wiki/Brainfuck
Brian's Brain,/wiki/Brian%27s_Brain
Bush hid the facts,/wiki/Bush_hid_the_facts
Chudnovsky brothers,/wiki/Chudnovsky_brothers
Esoteric programming language,/wiki/Esoteric_programming_language
Evil bit,/wiki/Evil_bit
Guru meditation,/wiki/Guru_meditation
Hyper Text Coffee Pot Control Protocol,/wiki/Hyper_Text_Coffee_Pot_Control_Protocol
I Am Rich,/wiki/I_Am_Rich
IP over Avian Carriers,/wiki/IP_over_Avian_Carriers
ISmell,/wiki/ISmell
Leet,/wiki/Leet
Lenna,/wiki/Lenna
Lp0 on fire,/wiki/Lp0_on_fire
MacQuarium,/wiki/MacQuarium
MONIAC Computer,/wiki/MONIAC_Computer
On the Cruelty of Really Teaching Computer Science,/wiki/On_the_Cruelty_of_Really_Teaching_Computer_Science
Reality distortion field,/wiki/Reality_distortion_field
Rubber-hose cryptanalysis,/wiki/Rubber-hose_cryptanalysis
Scunthorpe problem,/wiki/Scunthorpe_problem
Self-balancing unicycle,/wiki/Self-balancing_unicycle
Shellshock (software bug),/wiki/Shellshock_(software_bug)
Tay (bot),/wiki/Tay_(bot)
TempleOS,/wiki/TempleOS
Terry A. Davis,/wiki/Terry_A._Davis
Trojan room coffee pot,/wiki/Trojan_room_coffee_pot
Utah teapot,/wiki/Utah_teapot
Pentium F00F Bug,/wiki/Pentium_F00F_Bug
The Aristocrats (joke),/wiki/The_Aristocrats_(joke)
Bigipedia,/wiki/Bigipedia
"Boys are stupid, throw rocks at them! controversy","/wiki/Boys_are_stupid,_throw_rocks_at_them!_controversy"
George P. Burdell,/wiki/George_P._Burdell
List of defunct amusement parks,/wiki/List_of_defunct_amusement_parks
Hundeprutterutchebane,/wiki/Hundeprutterutchebane
The Bus Uncle,/wiki/The_Bus_Uncle
Conan the Librarian,/wiki/Conan_the_Librarian
Croydon facelift,/wiki/Croydon_facelift
Cultural depictions of Napoleon,/wiki/Cultural_depictions_of_Napoleon
Kawaii,/wiki/Kawaii
Evil clown,/wiki/Evil_clown
Evil Overlord List,/wiki/Evil_Overlord_List
Flash mob,/wiki/Flash_mob
Fuck for Forest,/wiki/Fuck_for_Forest
Garden hermit,/wiki/Garden_hermit
Ghost-riding,/wiki/Ghost-riding
Great Stork Derby,/wiki/Great_Stork_Derby
Gurn,/wiki/Gurn
Human rainbow,/wiki/Human_rainbow
Issei Sagawa,/wiki/Issei_Sagawa
Kayfabe,/wiki/Kayfabe
Killer toys,/wiki/Killer_toys
Love padlocks,/wiki/Love_padlocks
Masturbate-a-thon,/wiki/Masturbate-a-thon
Meta-joke,/wiki/Meta-joke
Metafiction,/wiki/Metafiction
Mooning the Cog,/wiki/Mooning_the_Cog
Nazi chic,/wiki/Nazi_chic
No soap radio,/wiki/No_soap_radio
NUKEMAP,/wiki/NUKEMAP
Obay,/wiki/Obay
Pen spinning,/wiki/Pen_spinning
Le Pétomane,/wiki/Le_P%C3%A9tomane
Aron Ralston,/wiki/Aron_Ralston
Real-life superhero,/wiki/Real-life_superhero
Sardarji jokes,/wiki/Sardarji_jokes
List of school pranks,/wiki/List_of_school_pranks
Treacle mining,/wiki/Treacle_mining
Larry Walters,/wiki/Larry_Walters
The World Famous Bushman,/wiki/The_World_Famous_Bushman
VHEMT,/wiki/VHEMT
You kids get off my lawn!,/wiki/You_kids_get_off_my_lawn!
Artist's Shit,/wiki/Artist%27s_Shit
A Woman Hitting a Neo-Nazi With Her Handbag,/wiki/A_Woman_Hitting_a_Neo-Nazi_With_Her_Handbag
America (toilet),/wiki/America_(toilet)
Australia's big things,/wiki/Australia%27s_big_things
Banksy,/wiki/Banksy
Bog Standard Gallery,/wiki/Bog_Standard_Gallery
Boll Weevil Monument,/wiki/Boll_Weevil_Monument
Bottle Rack,/wiki/Bottle_Rack
Chamber of Art and Curiosities,/wiki/Chamber_of_Art_and_Curiosities
Cool S,/wiki/Cool_S
Earring Magic Ken,/wiki/Earring_Magic_Ken
Dinny the Dinosaur,/wiki/Dinny_the_Dinosaur
Fire photography,/wiki/Fire_photography
"Fourth plinth, Trafalgar Square","/wiki/Fourth_plinth,_Trafalgar_Square"
Fremont Troll,/wiki/Fremont_Troll
Garden gnome liberationists,/wiki/Garden_gnome_liberationists
Gävle goat,/wiki/G%C3%A4vle_goat
Hahn/Cock,/wiki/Hahn/Cock
The Headington Shark,/wiki/The_Headington_Shark
Hellmouth,/wiki/Hellmouth
Howard Hallis,/wiki/Howard_Hallis
Katrina refrigerator,/wiki/Katrina_refrigerator
Knitta Please,/wiki/Knitta_Please
La Princesse,/wiki/La_Princesse
Le Rêve (Picasso),/wiki/Le_R%C3%AAve_(Picasso)
Largest photographs in the world,/wiki/Largest_photographs_in_the_world
List of fictional colors,/wiki/List_of_fictional_colors
Mexican Perforation,/wiki/Mexican_Perforation
Museum of Bad Art,/wiki/Museum_of_Bad_Art
Paintings by Adolf Hitler,/wiki/Paintings_by_Adolf_Hitler
Pantone 448 C,/wiki/Pantone_448_C
Phallic architecture,/wiki/Phallic_architecture
Portland International Airport carpet,/wiki/Portland_International_Airport_carpet
Pink Lady (art),/wiki/Pink_Lady_(art)
Abel Ramírez Águilar,/wiki/Abel_Ram%C3%ADrez_%C3%81guilar
Roundabout dog,/wiki/Roundabout_dog
Sacred Cod,/wiki/Sacred_Cod
Scandinavian Institute of Comparative Vandalism,/wiki/Scandinavian_Institute_of_Comparative_Vandalism
Superlambanana,/wiki/Superlambanana
Tillie (murals),/wiki/Tillie_(murals)
Reverence (sculpture),/wiki/Reverence_(sculpture)
Acme Corporation,/wiki/Acme_Corporation
Afghanis-tan,/wiki/Afghanis-tan
Archie Meets the Punisher,/wiki/Archie_Meets_the_Punisher
Arm-Fall-Off-Boy,/wiki/Arm-Fall-Off-Boy
Arseface,/wiki/Arseface
Bobobo-bo Bo-bobo,/wiki/Bobobo-bo_Bo-bobo
Cartoon physics,/wiki/Cartoon_physics
Censored Eleven,/wiki/Censored_Eleven
Clan McDuck,/wiki/Clan_McDuck
Comic book death,/wiki/Comic_book_death
Der Fuehrer's Face,/wiki/Der_Fuehrer%27s_Face
Gorillas in comics,/wiki/Gorillas_in_comics
Homosexuality in the Batman franchise,/wiki/Homosexuality_in_the_Batman_franchise
Jenny Everywhere,/wiki/Jenny_Everywhere
The Metric Marvels,/wiki/The_Metric_Marvels
Moe anthropomorphism,/wiki/Moe_anthropomorphism
Mr. Immortal,/wiki/Mr._Immortal
NFL SuperPro,/wiki/NFL_SuperPro
Tentacle erotica,/wiki/Tentacle_erotica
Uncle Grandpa,/wiki/Uncle_Grandpa
112 Gripes About the French,/wiki/112_Gripes_About_the_French
Aldiborontiphoskyphorniostikos,/wiki/Aldiborontiphoskyphorniostikos
Anthropodermic bibliopegy,/wiki/Anthropodermic_bibliopegy
Atlanta Nights,/wiki/Atlanta_Nights
The Book of Heroic Failures,/wiki/The_Book_of_Heroic_Failures
Bookseller/Diagram Prize for Oddest Title of the Year,/wiki/Bookseller/Diagram_Prize_for_Oddest_Title_of_the_Year
La Bougie du Sapeur,/wiki/La_Bougie_du_Sapeur
Bulwer-Lytton Fiction Contest,/wiki/Bulwer-Lytton_Fiction_Contest
Dinosaur erotica,/wiki/Dinosaur_erotica
Lyttle Lytton Contest,/wiki/Lyttle_Lytton_Contest
Death poem,/wiki/Death_poem
Fart Proudly,/wiki/Fart_Proudly
Henry Darger,/wiki/Henry_Darger
Early American editions of The Hobbit,/wiki/Early_American_editions_of_The_Hobbit
English As She Is Spoke,/wiki/English_As_She_Is_Spoke
Evil laugh,/wiki/Evil_laugh
The Eye of Argon,/wiki/The_Eye_of_Argon
The First Blast of the Trumpet Against the Monstrous Regiment of Women,/wiki/The_First_Blast_of_the_Trumpet_Against_the_Monstrous_Regiment_of_Women
"For sale: baby shoes, never worn","/wiki/For_sale:_baby_shoes,_never_worn"
Gadsby (novel),/wiki/Gadsby_(novel)
Grammarians' War,/wiki/Grammarians%27_War
Hitler Diaries,/wiki/Hitler_Diaries
"I, Libertine","/wiki/I,_Libertine"
Lecherous Limericks,/wiki/Lecherous_Limericks
Lesbian vampire,/wiki/Lesbian_vampire
Lion-Eating Poet in the Stone Den,/wiki/Lion-Eating_Poet_in_the_Stone_Den
"List of works with the subtitle ""Virtue Rewarded""",/wiki/List_of_works_with_the_subtitle_%22Virtue_Rewarded%22
Lobby Lud,/wiki/Lobby_Lud
Magical negro,/wiki/Magical_negro
Marlovian theory,/wiki/Marlovian_theory
William McGonagall,/wiki/William_McGonagall
Men in Aida,/wiki/Men_in_Aida
The Meaning of Hitler (book),/wiki/The_Meaning_of_Hitler_(book)
My Immortal (fan fiction),/wiki/My_Immortal_(fan_fiction)
Naked Came the Stranger,/wiki/Naked_Came_the_Stranger
Order of the Occult Hand,/wiki/Order_of_the_Occult_Hand
On Bullshit,/wiki/On_Bullshit
Ossian,/wiki/Ossian
Philip M. Parker,/wiki/Philip_M._Parker
Political interpretations of The Wonderful Wizard of Oz,/wiki/Political_interpretations_of_The_Wonderful_Wizard_of_Oz
Rolling Stone (Uganda),/wiki/Rolling_Stone_(Uganda)
Amanda McKittrick Ros,/wiki/Amanda_McKittrick_Ros
Saddam Hussein's novels,/wiki/Saddam_Hussein%27s_novels
Shakespeare authorship question,/wiki/Shakespeare_authorship_question
Shakespeare Apocrypha,/wiki/Shakespeare_Apocrypha
"Society of Science, Letters and Art","/wiki/Society_of_Science,_Letters_and_Art"
"Striking and Picturesque Delineations of the Grand, Beautiful, Wonderful, and Interesting Scenery Around Loch-Earn","/wiki/Striking_and_Picturesque_Delineations_of_the_Grand,_Beautiful,_Wonderful,_and_Interesting_Scenery_Around_Loch-Earn"
There once was a man from Nantucket,/wiki/There_once_was_a_man_from_Nantucket
Le Train de Nulle Part,/wiki/Le_Train_de_Nulle_Part
2001 Clear Channel memorandum,/wiki/2001_Clear_Channel_memorandum
27 Club,/wiki/27_Club
Elvis impersonator,/wiki/Elvis_impersonator
4′33″,/wiki/4%E2%80%B233%E2%80%B3
AKB48 Group,/wiki/AKB48_Group
All Lights Fucked on the Hairy Amp Drooling,/wiki/All_Lights_Fucked_on_the_Hairy_Amp_Drooling
Animutation,/wiki/Animutation
As Slow As Possible,/wiki/As_Slow_As_Possible
Bleach (American band Bleach album),/wiki/Bleach_(American_band_Bleach_album)
Bleach (Japanese band Bleach album),/wiki/Bleach_(Japanese_band_Bleach_album)
The Boy Bands Have Won,/wiki/The_Boy_Bands_Have_Won
Rosemary Brown (spiritualist),/wiki/Rosemary_Brown_(spiritualist)
Camouflage (Chris Sievey song),/wiki/Camouflage_(Chris_Sievey_song)
Cat organ,/wiki/Cat_organ
CD Rev,/wiki/CD_Rev
Chillwave,/wiki/Chillwave
Cigarettes and Valentines,/wiki/Cigarettes_and_Valentines
Collapse of Smile,/wiki/Collapse_of_Smile
Curse of the ninth,/wiki/Curse_of_the_ninth
Danger Mouse and Sparklehorse Present: Dark Night of the Soul,/wiki/Danger_Mouse_and_Sparklehorse_Present:_Dark_Night_of_the_Soul
Dark Side of the Rainbow,/wiki/Dark_Side_of_the_Rainbow
Das erste Wiener Gemüseorchester,/wiki/Das_erste_Wiener_Gem%C3%BCseorchester
Earworm,/wiki/Earworm
Electroencephalophone,/wiki/Electroencephalophone
Escopetarra,/wiki/Escopetarra
Elvis sightings,/wiki/Elvis_sightings
Elvis' Greatest Shit,/wiki/Elvis%27_Greatest_Shit
Euro-Vision,/wiki/Euro-Vision
"Fogerty v. Fantasy, Inc.","/wiki/Fogerty_v._Fantasy,_Inc."
Fyre Festival,/wiki/Fyre_Festival
Grunge speak,/wiki/Grunge_speak
Hatebeak,/wiki/Hatebeak
Joyce Hatto,/wiki/Joyce_Hatto
Helikopter-Streichquartett,/wiki/Helikopter-Streichquartett
Hitler Has Only Got One Ball,/wiki/Hitler_Has_Only_Got_One_Ball
Industrial musical,/wiki/Industrial_musical
Bobby Jameson,/wiki/Bobby_Jameson
Jandek,/wiki/Jandek
Jeg har set en rigtig negermand,/wiki/Jeg_har_set_en_rigtig_negermand
Florence Foster Jenkins,/wiki/Florence_Foster_Jenkins
Leck mich im Arsch,/wiki/Leck_mich_im_Arsch
The Lillywhite Sessions,/wiki/The_Lillywhite_Sessions
List of musical works in unusual time signatures,/wiki/List_of_musical_works_in_unusual_time_signatures
List of silent musical compositions,/wiki/List_of_silent_musical_compositions
List of songs topping polls for worst songs,/wiki/List_of_songs_topping_polls_for_worst_songs
Literal music video,/wiki/Literal_music_video
Loudness war,/wiki/Loudness_war
Manualism (hand music),/wiki/Manualism_(hand_music)
Metal Machine Music,/wiki/Metal_Machine_Music
Microgenre,/wiki/Microgenre
The Monty Python Matching Tie and Handkerchief,/wiki/The_Monty_Python_Matching_Tie_and_Handkerchief
Moondog,/wiki/Moondog
R. Stevie Moore,/wiki/R._Stevie_Moore
More cowbell,/wiki/More_cowbell
The Most Unwanted Song,/wiki/The_Most_Unwanted_Song
MP4 (band),/wiki/MP4_(band)
Musical saw,/wiki/Musical_saw
Musikalisches Würfelspiel,/wiki/Musikalisches_W%C3%BCrfelspiel
Musique pour Supermarché,/wiki/Musique_pour_Supermarch%C3%A9
My Way killings,/wiki/My_Way_killings
Never Learn Not to Love,/wiki/Never_Learn_Not_to_Love
Nyah nyah nyah nyah nyah nyah,/wiki/Nyah_nyah_nyah_nyah_nyah_nyah
Okilly Dokilly,/wiki/Okilly_Dokilly
P Funk mythology,/wiki/P_Funk_mythology
Paul is dead,/wiki/Paul_is_dead
Pink Floyd pigs,/wiki/Pink_Floyd_pigs
PopMart Tour,/wiki/PopMart_Tour
Proibidão,/wiki/Proibid%C3%A3o
Publius Enigma,/wiki/Publius_Enigma
Operation Nifty Package,/wiki/Operation_Nifty_Package
Rage Over a Lost Penny,/wiki/Rage_Over_a_Lost_Penny
Ready 'N Steady,/wiki/Ready_%27N_Steady
Rockism and poptimism,/wiki/Rockism_and_poptimism
The Shaggs,/wiki/The_Shaggs
William Shatner's musical career,/wiki/William_Shatner%27s_musical_career
Sleepify,/wiki/Sleepify
Thai Elephant Orchestra,/wiki/Thai_Elephant_Orchestra
To Anacreon in Heaven,/wiki/To_Anacreon_in_Heaven
Tokyo Ghetto Pussy,/wiki/Tokyo_Ghetto_Pussy
Tout-à-Coup Jazz,/wiki/Tout-%C3%A0-Coup_Jazz
Tromboon,/wiki/Tromboon
Ugly stick,/wiki/Ugly_stick
Up to eleven,/wiki/Up_to_eleven
Ventolin (EP),/wiki/Ventolin_(EP)
You Suffer,/wiki/You_Suffer
The Zimmers,/wiki/The_Zimmers
Zombeatles,/wiki/Zombeatles
100 Years (film),/wiki/100_Years_(film)
An Alan Smithee Film: Burn Hollywood Burn,/wiki/An_Alan_Smithee_Film:_Burn_Hollywood_Burn
Ambiancé,/wiki/Ambianc%C3%A9
Big Dumb Object,/wiki/Big_Dumb_Object
Birdemic: Shock and Terror,/wiki/Birdemic:_Shock_and_Terror
Nothing Lasts Forever (film),/wiki/Nothing_Lasts_Forever_(film)
Return of the Jedi,/wiki/Return_of_the_Jedi#Filming
The Canadian Conspiracy,/wiki/The_Canadian_Conspiracy
Conspiracy 58,/wiki/Conspiracy_58
The Cure for Insomnia,/wiki/The_Cure_for_Insomnia
The Day the Clown Cried,/wiki/The_Day_the_Clown_Cried
Dump months,/wiki/Dump_months
Empire (1964 film),/wiki/Empire_(1964_film)
First on the Moon,/wiki/First_on_the_Moon
The Flintstones & WWE: Stone Age SmackDown!,/wiki/The_Flintstones_%26_WWE:_Stone_Age_SmackDown!
"I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney","/wiki/I_Killed_My_Lesbian_Wife,_Hung_Her_on_a_Meat_Hook,_and_Now_I_Have_a_Three-Picture_Deal_at_Disney"
Jesus Christ Vampire Hunter,/wiki/Jesus_Christ_Vampire_Hunter
Kin-yan Lee,/wiki/Kin-yan_Lee
List of films featuring giant monsters,/wiki/List_of_films_featuring_giant_monsters
"List of films that most frequently use the word ""fuck""",/wiki/List_of_films_that_most_frequently_use_the_word_%22fuck%22
Logistics (film),/wiki/Logistics_(film)
The Longest Most Meaningless Movie in the World,/wiki/The_Longest_Most_Meaningless_Movie_in_the_World
Manic Pixie Dream Girl,/wiki/Manic_Pixie_Dream_Girl
Manos: The Hands of Fate,/wiki/Manos:_The_Hands_of_Fate
Mockbuster,/wiki/Mockbuster
"Modern Times Forever (Stora Enso Building, Helsinki)","/wiki/Modern_Times_Forever_(Stora_Enso_Building,_Helsinki)"
Monster a Go-Go,/wiki/Monster_a_Go-Go
"Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Alien, Flesh Eating, Hellbound, Zombified Living Dead Part 2: In Shocking 2-D","/wiki/Night_of_the_Day_of_the_Dawn_of_the_Son_of_the_Bride_of_the_Return_of_the_Revenge_of_the_Terror_of_the_Attack_of_the_Evil,_Mutant,_Alien,_Flesh_Eating,_Hellbound,_Zombified_Living_Dead_Part_2:_In_Shocking_2-D"
Oscar bait,/wiki/Oscar_bait
Paint Drying,/wiki/Paint_Drying
Pulgasari,/wiki/Pulgasari
Roundhay Garden Scene,/wiki/Roundhay_Garden_Scene
"Shaken, not stirred","/wiki/Shaken,_not_stirred"
Space Nazis,/wiki/Space_Nazis
Spaghetti trees,/wiki/Spaghetti_trees
SSSSSSS,/wiki/SSSSSSS
Stay Puft Marshmallow Man,/wiki/Stay_Puft_Marshmallow_Man
Stinking badges,/wiki/Stinking_badges
Surf Nazis Must Die,/wiki/Surf_Nazis_Must_Die
Taylor Mead's Ass,/wiki/Taylor_Mead%27s_Ass
Twin films,/wiki/Twin_films
United Passions,/wiki/United_Passions
Wilhelm scream,/wiki/Wilhelm_scream
Zyzzyx Road,/wiki/Zyzzyx_Road
Al Murray's Compete for the Meat,/wiki/Al_Murray%27s_Compete_for_the_Meat
Alternative 3,/wiki/Alternative_3
Anti-Barney Humor,/wiki/Anti-Barney_Humor
Australia's Naughtiest Home Videos,/wiki/Australia%27s_Naughtiest_Home_Videos
